0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.19237113,-0.9373931,1.7320473,-1.2069728,-0.5271343,0.77715766,0.3503991,0.35040766,-1.4942588,0.7940022,0.78151345,-0.47531873,-1.4893948,0.99232703,-0.58079576,-0.9228061,0.5546788,-0.54362917,0.1467311,-1.4482999,0.093283676,0.052334543,0.08984496,-0.40363997,-0.6015981,0.53389305,-0.35584143,0.15798461,0.9163903,-0.6650974,0.06256249
0.13585956,-0.6298897,1.4960026,-1.385954,-0.24916948,0.8187746,0.04712157,0.45423716,-1.2437866,1.0129219,1.0558385,-0.37738857,-1.3232591,1.1910595,-0.3626059,-0.88237786,0.39216366,-0.67474765,-0.03526086,-1.5000244,-0.24283218,0.2621442,0.027095262,-0.6739419,-0.44733185,0.5932892,-0.20658113,-0.27256832,1.318197,-0.76943296,0.23653743
0.05224626,-0.58384734,1.48693,-1.2868291,-0.06413469,0.7135498,-0.0013350731,0.38385388,-1.1244295,0.99077123,1.1099935,-0.68942034,-1.255985,1.2808238,-0.51318085,-0.74062335,0.14147203,-1.1705184,-0.09977535,-1.5944679,-0.23000343,0.39050832,0.089042276,-0.62414527,-0.2590957,1.0293686,-0.20325734,-0.03238445,1.3662676,-0.7368436,0.055174198
-0.018804913,-0.5588734,1.5205516,-1.2165465,0.05481672,0.94615257,-0.013348322,0.14620158,-1.3503249,0.9524648,1.1670536,-0.53082496,-1.3221838,1.4603513,-0.51032674,-0.78174126,0.2541195,-1.0175273,-0.09152019,-1.5323634,-0.2676961,0.15472177,0.23686737,-0.700335,-0.65853393,0.86852676,0.11399686,-0.26595828,1.016867,-0.5698516,0.07549442
0.13624343,-0.83204883,1.670621,-1.2920913,-0.48704556,0.6944877,-0.09719073,0.45683116,-1.324142,0.8412043,1.0802765,-0.2233264,-1.3449279,1.1833944,-0.40639716,-0.82399064,0.47077313,-0.859507,0.042558044,-1.4957197,0.0054430887,0.2648975,0.18099645,-0.5109725,-0.7051742,0.4284026,-0.2811615,0.09365333,1.0933325,-0.55673796,0.16718134
0.23053461,-0.81104255,1.5925128,-1.3113171,-0.41061172,0.5610123,-0.28243488,0.43321213,-1.3689287,0.7126045,0.92682576,-0.22462595,-1.2972763,1.2133703,-0.22661729,-0.6826422,0.23014922,-1.0968506,-0.10989623,-1.3399563,0.3988741,0.34565294,-0.049552303,-0.8504109,-0.18844669,0.9355923,-0.4985273,0.26940078,1.3476768,-0.75536746,0.6150364
0.2152336,-0.86712223,1.4622228,-1.4659559,-0.22293143,0.4966407,-0.061788585,0.63423675,-1.092595,0.45441133,0.8266596,-0.3834099,-1.554043,0.9051419,-0.3692788,-0.89987,0.09456761,-1.1991882,0.003680704,-1.1118202,0.49410096,0.39576483,-0.09276332,-0.5695522,-0.3439556,1.2203275,-0.6241625,0.37182486,1.0120347,-0.42110237,0.66235507
0.3078647,-1.2239449,1.5844266,-1.291584,-0.4319802,0.6029837,-0.21786344,0.551364,-1.4916795,0.33279285,0.41329163,-0.32885763,-1.0693156,1.26938,-0.11211937,-1.2110884,0.2467708,-1.0763084,0.12671421,-1.5064534,0.10285865,0.54695284,0.4806,-0.3626461,-0.31051874,0.94190323,-0.3443561,-0.23455654,1.141644,-0.504295,0.5709683
0.4187043,-0.95551455,1.6266469,-1.3290211,-0.30495417,0.62775713,-0.39535284,0.51789165,-1.432025,0.7634928,0.8411408,-0.34842435,-1.0919696,1.1114284,-0.35433206,-0.78538275,0.31018108,-1.1784425,-0.05862908,-1.2603804,0.20692289,0.54591334,0.040855117,-0.6318262,-0.1555555,0.6012696,-0.2164681,0.24682556,1.3447161,-0.6048267,0.3693108
0.3960927,-1.054513,1.7191476,-1.1250371,-0.45111457,0.3561563,-0.17958896,0.3012321,-1.5217341,0.8680949,0.97944313,-0.2162923,-1.1312057,0.8530966,-0.38205847,-0.7174336,0.26904637,-1.1511759,-0.045392312,-1.3688855,0.4560269,0.76514655,0.16969253,-0.56086594,0.042939425,0.69434077,-0.650054,0.4587001,1.7676995,-0.40981045,0.1722116
